2022-09-06 15:30:10.595  INFO [file-service,,,] 44660 --- [Thread-20] o.s.a.r.l.SimpleMessageListenerContainer : Waiting for workers to finish.
2022-09-06 15:30:11.390  INFO [file-service,,,] 44660 --- [Thread-20] o.s.a.r.l.SimpleMessageListenerContainer : Successfully waited for workers to finish.
2022-09-06 15:30:11.392  INFO [file-service,,,] 44660 --- [Thread-20] o.s.i.a.i.AmqpInboundChannelAdapter      : stopped inbound.springCloudBus.anonymous.zc3tRcykSemK--ed7Fja7Q
2022-09-06 15:30:11.397  INFO [file-service,,,] 44660 --- [Thread-20] o.s.c.stream.binder.BinderErrorChannel   : Channel 'file-service-1.springCloudBus.anonymous.zc3tRcykSemK--ed7Fja7Q.errors' has 1 subscriber(s).
2022-09-06 15:30:11.397  INFO [file-service,,,] 44660 --- [Thread-20] o.s.c.stream.binder.BinderErrorChannel   : Channel 'file-service-1.springCloudBus.anonymous.zc3tRcykSemK--ed7Fja7Q.errors' has 0 subscriber(s).
2022-09-06 15:30:11.454  INFO [file-service,,,] 44660 --- [Thread-20] o.s.i.endpoint.EventDrivenConsumer       : Removing {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
2022-09-06 15:30:11.454  INFO [file-service,,,] 44660 --- [Thread-20] o.s.i.channel.PublishSubscribeChannel    : Channel 'file-service-1.errorChannel' has 0 subscriber(s).
2022-09-06 15:30:11.454  INFO [file-service,,,] 44660 --- [Thread-20] o.s.i.endpoint.EventDrivenConsumer       : stopped _org.springframework.integration.errorLogger
2022-09-06 15:30:11.479  INFO [file-service,,,] 44660 --- [Thread-20] c.a.c.n.registry.NacosServiceRegistry    : De-registering from Nacos Server now...
2022-09-06 15:30:11.481  INFO [file-service,,,] 44660 --- [Thread-20] com.alibaba.nacos.client.naming          : [BEAT] removing beat: DEFAULT_GROUP@@file-service:192.168.31.213:8011 from beat map.
2022-09-06 15:30:11.482  INFO [file-service,,,] 44660 --- [Thread-20] com.alibaba.nacos.client.naming          : [DEREGISTER-SERVICE] public deregistering service DEFAULT_GROUP@@file-service with instance: {"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"ip":"192.168.31.213","ipDeleteTimeout":30000,"metadata":{},"port":8011,"weight":1.0}
2022-09-06 15:30:11.901  INFO [file-service,,,] 44660 --- [Thread-20] c.a.c.n.registry.NacosServiceRegistry    : De-registration finished.
2022-09-06 15:30:11.907  INFO [file-service,,,] 44660 --- [Thread-20] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2022-09-06 15:30:11.921  INFO [file-service,,,] 44660 --- [Thread-20] o.s.s.c.ThreadPoolTaskScheduler          : Shutting down ExecutorService 'taskScheduler'
2022-09-06 15:30:13.224  INFO [file-service,,,] 44660 --- [Thread-20] o.s.i.monitor.IntegrationMBeanExporter   : Summary on shutdown: nullChannel
2022-09-06 15:30:13.224  INFO [file-service,,,] 44660 --- [Thread-20] o.s.i.monitor.IntegrationMBeanExporter   : Summary on shutdown: springCloudBusInput
2022-09-06 15:30:13.225  INFO [file-service,,,] 44660 --- [Thread-20] o.s.i.monitor.IntegrationMBeanExporter   : Summary on shutdown: errorChannel
2022-09-06 15:30:13.225  INFO [file-service,,,] 44660 --- [Thread-20] o.s.i.monitor.IntegrationMBeanExporter   : Summary on shutdown: springCloudBus.anonymous.zc3tRcykSemK--ed7Fja7Q.errors
2022-09-06 15:30:13.225  INFO [file-service,,,] 44660 --- [Thread-20] o.s.i.monitor.IntegrationMBeanExporter   : Summary on shutdown: springCloudBusOutput
2022-09-06 15:30:13.225  INFO [file-service,,,] 44660 --- [Thread-20] o.s.i.monitor.IntegrationMBeanExporter   : Summary on shutdown: _org.springframework.integration.errorLogger.handler
2022-09-06 15:30:13.225  INFO [file-service,,,] 44660 --- [Thread-20] o.s.i.monitor.IntegrationMBeanExporter   : Summary on shutdown: org.springframework.cloud.stream.binding.StreamListenerMessageHandler@600b8404
